#{"t_start": 1700578441.7131789, "env_id": "None"}
r,l,t
295.981127,1001,2.374218
32.566553,295,3.154022
38.888112,311,3.97269
211.728556,1001,6.129515
250.870016,1001,8.274374
150.505253,375,9.225286
8.371407,258,10.958173
6.065117,215,11.616604
306.898438,763,13.32686
0.240242,49,13.647817
1.359731,82,14.040465
220.677485,694,15.618563
1.895737,68,15.969208
17.445825,235,16.633682
9.722131,139,17.119534
305.49781,1001,19.248387
0.399838,46,19.561678
12.465973,396,20.523492
79.598682,910,23.662478
74.193227,369,24.576787
236.85088,1001,26.695204
84.028281,323,27.541238
3.603102,164,28.078424
1.638912,84,28.454411
36.857875,466,29.552767
105.519338,1001,31.67613
49.741395,227,33.569274
62.262082,574,34.999356
37.928488,384,35.977994
321.0169,974,38.064402
283.431742,960,40.145908
29.487324,210,40.793464
2.670087,116,41.263132
35.098369,311,42.101567
3.850299,369,43.057963
215.740571,695,45.638848
84.066253,478,46.837942
130.180618,593,48.22876
1.325617,180,48.79876
115.405597,514,50.023864
49.510917,531,51.359366
95.978133,783,53.214344
18.179901,201,53.827242
376.178243,1001,57.012174
31.294678,226,57.677441
18.875387,447,58.802667
0.036534,21,59.07527
16.132185,233,59.76123
45.454095,486,60.923604
298.893799,778,62.688077
20.306289,199,63.304362
258.689974,1001,66.41488
48.393313,479,67.633763
24.498414,220,68.297307
32.745355,247,69.017137
73.946794,651,70.521442
20.060462,215,71.168818
72.762169,879,73.040154
427.076468,1001,75.167766
26.518741,447,77.32685
7.317365,181,77.919898
20.902594,187,78.507597
66.377003,347,79.395368
42.394768,308,80.256094
8.812056,196,80.904304
42.774647,227,81.573696
60.239829,536,82.822777
24.21899,209,83.44232
45.36337,356,84.351995
181.427829,1001,86.49568
2.014852,98,86.911694
50.659114,351,88.897474
0.577837,60,89.239188
299.615175,806,91.023637
123.054929,527,92.296233
5.109653,160,92.82467
10.849785,172,93.387641
23.826377,246,94.074003
268.802278,854,95.95176
2.700017,147,96.469448
52.159353,307,97.30643
110.992354,327,98.189745
0.605944,95,98.602539
222.448692,633,101.151302
0.608913,54,101.482862
64.187299,319,102.331431
216.426656,965,104.418422
137.708382,634,105.878062
78.130657,261,106.601785
12.561702,134,107.173714
4.898918,306,108.003088
225.822435,1001,110.138896
92.051855,321,112.08114
111.58087,410,113.078866
116.719853,579,114.450427
3.614874,169,115.012696
122.285866,829,116.822974
3.490103,251,117.507644
89.155065,684,118.997308
0.04973,44,119.295944
255.197647,1001,122.551181
0.246362,24,122.819198
11.157197,159,123.342832
367.035631,1001,125.480342
241.234671,732,127.146149
123.949806,660,128.651749
104.898784,1001,130.787602
43.069877,337,131.65066
310.586329,1001,134.995767
23.535345,291,135.774259
164.798053,1001,137.939562
214.32192,649,139.419592
6.017995,82,139.801242
97.53644,448,140.874953
13.388817,260,141.585935
91.781456,419,142.621486
0.747283,57,143.912858
49.602432,272,144.644075
52.769609,397,145.620491
18.783783,205,146.229229
1.926351,79,146.596242
19.35484,375,147.522828
13.648836,276,148.270642
58.376635,207,148.926023
245.443263,1001,151.08252
0.426703,58,151.41678
112.149948,534,152.666486
25.410248,525,153.877032
39.29043,315,155.765784
274.132309,992,157.860057
8.111773,233,158.524929
214.543258,661,160.004171
75.59865,368,160.925151
