#{"t_start": 1700579413.247545, "env_id": "None"}
r,l,t
0.0,1001,2.281874
0.0,277,3.019134
0.0,801,4.741581
0.000842,419,5.750524
0.0,934,7.721271
0.0,655,9.162855
0.0,162,10.640032
0.003256,592,11.975532
0.001869,184,12.537427
0.002887,223,13.171721
0.0,63,13.499249
0.0,109,13.9164
0.0,199,14.513369
0.001859,426,15.536809
0.0,193,16.124899
0.260013,484,17.270687
0.0,123,17.721826
0.0,177,18.280786
0.0,186,18.849986
0.12981,371,19.759638
0.085024,375,20.72144
0.0,186,21.306071
0.0,771,24.05322
0.009264,476,25.201208
0.007734,798,26.941082
0.005918,1001,29.100373
0.0,817,30.861488
0.0,21,31.123955
0.004952,70,31.47638
0.0,479,33.478386
9.6e-05,61,33.81619
0.002616,318,34.646613
0.073346,399,35.6603
0.00623,188,36.250753
0.0,561,37.553398
0.0,456,38.631664
1.1e-05,113,39.055753
0.044244,176,39.604861
0.020181,23,39.868235
0.0,385,40.811818
0.0,52,41.12935
0.0,236,41.782877
0.00053,535,43.017682
0.002506,634,45.468686
0.002105,223,46.105562
0.0,1001,48.219333
0.0,258,48.933549
0.0,744,50.559126
0.00054,434,51.594758
0.0,42,51.89302
0.001814,257,52.596676
0.0,1001,55.791713
0.0,252,56.485236
0.001824,137,56.96237
0.0,408,57.955375
0.0,464,59.048389
0.0,113,59.468694
0.000553,90,59.850804
0.029024,152,60.349319
0.0,428,61.386992
0.0,82,61.760137
0.000785,626,63.162943
0.0,678,64.669347
0.0,1001,67.817642
0.000657,321,68.656594
0.00302,32,68.936693
0.0,359,69.818372
0.000664,93,70.203229
0.005494,440,71.251567
0.003279,65,71.583863
0.056301,40,71.868128
0.0,419,72.860371
0.0,916,74.80581
0.012745,536,76.024674
0.012925,198,76.618484
0.0,113,77.051509
0.0,204,78.56299
0.0,387,79.501088
0.012158,236,80.157502
0.0,134,80.62123
0.00082,574,81.978697
0.008538,111,82.420071
0.0,876,84.297501
0.0,69,84.636374
0.0,179,85.183393
0.034789,581,86.508288
0.0,601,87.872276
0.013577,113,88.304806
0.0,398,90.215365
