#{"t_start": 1700580978.9086778, "env_id": "None"}
r,l,t
0.0,146,0.679927
0.0,1001,2.763659
0.0,199,3.343122
0.0,39,3.627473
0.0,464,4.690872
0.0,154,5.184421
0.0,69,5.531467
0.0,604,6.877838
0.0,160,7.396531
0.0,346,8.295787
0.0,232,8.96981
0.0,597,10.317471
0.0,681,12.738556
0.0,93,13.14279
0.0,1001,15.336648
0.0,218,15.960958
0.0,1001,18.153248
0.0,916,20.173691
0.0,582,22.503623
0.0,120,22.951865
0.0,300,23.722175
0.0,227,24.35149
0.0,639,25.743357
0.0,501,26.902863
0.0,426,27.924275
0.0,442,28.978727
0.0,505,30.160761
0.0,493,31.318832
0.0,235,32.980118
0.0,230,33.641488
0.0,898,35.556159
0.0,348,36.418407
0.0,969,38.487432
0.0,255,39.210345
0.0,210,39.830515
0.0,262,40.54051
0.0,1001,43.624548
0.0,107,44.037759
0.0,339,44.872531
0.0,454,45.945323
0.0,292,46.716853
0.0,496,47.878719
0.0,293,48.649441
0.0,140,49.124666
0.0,166,49.689954
0.0,252,50.370813
0.0,178,50.917421
0.0,678,52.406169
0.0,1001,55.392727
0.0,151,55.886447
0.0,51,56.193532
0.0,244,56.853793
0.0,224,57.490679
0.0,438,58.522305
0.0,1001,60.582186
0.0,1001,62.669686
0.0,313,63.464242
0.0,1001,66.431578
0.0,816,68.143469
0.0,72,68.488396
0.0,1001,70.65026
0.0,239,71.325123
0.0,961,73.316403
0.0,1001,76.303574
0.0,257,76.991161
0.0,130,77.447628
0.0,241,78.149546
0.0,334,79.005012
0.0,115,79.438529
0.0,1001,81.529941
0.0,290,82.284981
0.0,180,82.828833
0.0,447,83.866939
0.0,268,84.5751
0.0,160,86.003056
0.0,587,87.300987
0.0,820,89.025831
0.0,1001,91.108339
0.0,268,91.818028
0.0,169,92.347059
0.0,249,93.017426
0.0,627,94.39759
0.0,44,94.692427
0.0,139,95.165346
0.0,893,97.957822
0.0,537,99.167408
0.0,309,99.951802
0.0,106,100.362491
0.0,437,101.382507
0.0,1001,103.475805
0.0,1001,106.559624
0.0,48,106.881157
0.0,379,107.852731
0.0,90,108.240231
0.0,368,109.139331
0.0,168,109.675325
0.0,184,110.237111
0.0,53,110.569244
0.0,916,112.555011
0.0,332,113.446765
0.0,529,114.673296
0.0,156,115.181807
0.0,632,116.617875
0.0,280,118.306475
0.0,526,119.5297
0.0,398,120.546348
0.0,416,121.575765
0.0,487,122.704067
0.0,217,123.427116
0.0,86,123.810457
0.0,58,124.144798
0.0,403,125.169203
0.0,403,126.164824
0.0,284,126.915541
0.0,197,127.519959
0.0,38,127.814659
0.0,330,128.663186
0.0,22,128.932036
0.0,194,130.502893
0.0,191,131.090086
0.0,501,132.308419
0.0,187,132.981165
0.0,207,133.673319
0.0,657,135.218425
0.0,417,136.261016
0.0,238,136.956672
0.0,399,137.926462
0.0,277,138.67075
0.0,311,139.462559
0.0,298,140.2387
0.0,672,142.617504
0.0,488,143.748889
0.0,227,144.385236
0.0,298,145.162023
0.0,680,146.658881
0.0,169,147.192402
0.0,530,148.400612
0.0,462,149.475849
0.0,113,149.906736
0.0,201,150.494427
0.0,396,151.446617
0.0,298,153.117615
0.0,534,154.330361
0.0,120,154.786666
0.0,304,155.565911
0.0,401,156.528006
0.0,782,158.290402
0.0,1001,160.397314
0.0,479,161.535979
0.0,34,161.81569
0.0,147,162.303029
0.0,488,164.317741
0.0,144,164.801882
0.0,88,165.182012
0.0,769,166.830363
0.0,97,167.228449
0.0,1001,169.330683
0.0,763,171.001278
0.0,323,171.816439
0.0,711,174.306933
0.0,63,174.636138
0.0,859,176.459044
0.0,413,177.438365
0.0,61,177.766591
0.0,60,178.097386
0.0,253,178.790978
0.0,236,179.442901
0.0,669,180.950386
0.0,730,182.533006
0.0,193,183.097382
0.0,195,183.679325
0.0,358,185.515097
0.0,68,185.852621
0.0,502,187.002451
0.0,75,187.379053
0.0,188,187.952112
0.0,348,188.847083
0.0,256,189.543145
0.0,446,190.608282
0.0,165,191.134427
0.0,120,191.583491
0.0,198,192.179665
0.0,173,192.717731
0.0,249,193.392164
0.0,155,193.898295
0.0,409,194.878761
0.0,186,195.45924
0.0,257,196.181887
0.0,171,197.695253
0.0,586,199.070053
0.0,151,199.63545
0.0,149,200.163375
0.0,583,201.510768
0.0,611,202.893537
0.0,1001,205.023191
0.0,963,207.130799
0.0,1001,210.183477
0.0,139,210.678205
0.0,452,211.74224
0.0,357,212.620536
0.0,153,213.11691
0.0,157,213.6829
0.0,130,214.142339
0.0,222,214.800276
0.0,1001,216.969745
0.0,648,219.684024
0.0,321,220.529247
0.0,355,221.450055
0.0,136,221.936263
0.0,315,222.774171
0.0,131,223.264148
0.0,59,223.605167
0.0,318,224.424117
0.0,188,224.994063
0.0,605,226.362938
0.0,146,226.854498
0.0,214,227.481114
0.0,164,228.016883
0.0,168,228.569196
0.0,635,230.033438
0.0,286,231.823348
0.0,272,232.565471
0.0,191,233.16414
0.0,63,233.510375
0.0,322,234.343322
0.0,401,235.337153
0.0,316,236.142724
0.0,265,236.84456
0.0,661,238.286202
0.0,50,238.606297
