#{"t_start": 1700573791.400461, "env_id": "None"}
r,l,t
0.0,211,0.808219
0.0,821,2.533236
0.007145,168,3.05053
0.0,683,4.521169
0.0,514,5.670068
0.006716,1001,7.744055
0.062718,170,8.275519
0.03479,490,9.396266
0.0,125,10.820839
0.0,78,11.184292
0.0,626,12.623706
0.004919,60,12.957204
0.005801,70,13.307167
0.0,13,13.547113
0.0,12,13.784082
0.012106,95,14.172281
0.0,42,14.460684
0.035532,77,14.817323
0.0,14,15.061228
0.009657,70,15.405879
0.0,57,15.727855
0.0,31,15.997438
0.002873,775,17.683986
0.003715,298,18.464307
0.0,43,18.76775
0.0,66,19.103633
0.002897,43,19.395275
0.0,28,19.659896
0.015944,570,20.965768
0.0,174,21.517555
0.0,128,21.972726
0.003553,41,22.260514
0.0,1001,25.393156
0.0,16,25.642461
0.0,14,25.881788
0.0,14,26.122965
0.0,14,26.364021
0.0,16,26.609176
0.0,13,26.848855
0.0,15,27.091458
0.0,14,27.332573
0.0,14,27.577492
0.0,14,27.818232
0.0,15,28.063712
0.0,15,28.309133
0.0,13,28.54708
0.0,16,28.793211
0.0,13,29.03119
0.0,14,29.27042
0.0,17,29.513853
0.0,15,29.755023
0.0,14,30.000113
0.0,17,30.24272
0.0,17,30.528802
0.0,13,30.770972
0.0,16,31.013577
0.0,16,31.255668
0.0,15,31.49845
0.0,13,31.748377
0.0,15,31.993685
0.0,16,32.239552
0.0,17,32.4891
0.0,14,32.726875
0.0,14,32.97307
0.0,14,33.2138
0.0,13,33.454152
0.0,15,33.698496
0.0,16,33.944116
0.0,14,34.185008
0.0,16,34.430671
0.0,16,34.675158
0.0,15,34.919616
0.0,15,35.163218
0.0,16,35.408184
0.0,15,35.652291
0.0,14,35.894457
0.0,15,36.137682
0.0,15,36.380619
0.0,14,36.622039
0.0,13,36.862621
0.0,15,37.106613
0.0,16,37.352297
0.0,14,37.597672
0.0,14,37.839159
0.0,16,38.080612
0.0,16,38.322774
0.0,13,38.559089
0.0,14,38.79729
0.0,15,39.036873
0.0,14,39.274984
0.0,15,39.514754
0.0,13,39.751487
0.0,14,39.989695
0.0,12,40.224284
0.0,12,40.459365
0.0,15,40.709565
0.0,14,40.951377
0.0,16,41.194683
0.0,13,41.432488
0.0,14,41.673568
0.0,15,41.916043
0.0,14,42.156347
0.0,14,42.396775
0.0,14,42.636677
0.0,15,42.877561
0.0,14,43.117554
0.0,13,43.35612
0.0,15,43.597938
0.0,15,43.836415
0.0,13,44.0762
0.0,15,44.319489
0.0,14,44.556932
0.0,19,44.802618
0.0,14,45.038462
0.0,14,45.275009
0.0,14,45.511856
0.0,14,45.748542
0.0,13,45.982484
0.0,16,46.222279
0.0,14,46.458541
0.0,15,46.696748
0.0,13,46.931777
0.0,13,47.166677
0.0,13,47.401225
0.0,15,47.641583
0.0,14,47.879645
0.0,14,48.117432
0.0,15,48.355727
0.0,15,48.593452
0.0,13,48.827973
0.0,13,49.066811
0.0,14,49.310441
0.0,17,49.553182
0.0,14,49.78924
0.0,13,50.024088
0.0,14,50.265343
0.0,15,50.504168
0.0,18,50.748194
0.0,14,50.985196
0.0,12,51.217741
0.0,12,51.450844
0.0,11,51.681462
0.0,14,51.918623
0.0,14,52.154739
0.0,21,52.405706
0.0,18,52.650637
0.0,12,52.884661
0.0,15,53.124115
0.0,13,53.360415
0.0,14,53.599182
0.089493,1001,55.731187
0.0,13,55.980105
0.0,14,56.219834
0.0,16,56.462196
