#{"t_start": 1700672727.524053, "env_id": "None"}
r,l,t
0.0,111,0.610626
0.0,648,2.017528
0.0,440,3.03209
0.0,86,3.403636
0.0,99,3.794525
0.0,1001,5.850781
0.0,304,6.613712
0.0,713,8.127424
0.0,1001,11.199279
0.0,201,11.785085
0.0,335,12.639236
0.0,316,13.462675
0.0,161,13.975941
0.0,161,14.493018
0.0,967,16.497114
0.0,334,17.316529
0.0,508,18.461735
0.0,259,19.161342
0.0,705,21.60329
0.0,152,22.086766
0.0,122,22.527613
0.0,1001,24.560539
0.0,306,25.337613
0.0,427,26.343795
0.0,503,27.471152
0.0,302,28.354148
0.0,328,29.211667
0.0,109,29.645161
0.0,456,30.730537
0.0,261,32.429706
0.0,1001,34.559603
0.0,238,35.244212
0.0,41,35.589564
0.0,326,36.4661
0.0,889,38.413052
0.0,163,38.960258
0.0,619,40.347793
0.0,540,41.601168
0.0,420,43.569797
0.0,189,44.130117
0.0,1001,46.172344
0.0,289,46.915555
0.0,702,48.402435
0.0,259,49.092081
0.0,780,50.751461
0.0,139,51.221918
0.0,292,51.97052
0.0,691,54.420857
0.0,577,55.681654
0.0,271,56.392251
0.0,153,56.888203
0.0,286,57.625899
0.0,512,58.783858
0.0,241,59.439306
0.0,166,59.958449
0.0,729,61.515871
0.0,803,64.172891
0.0,227,64.795157
0.0,312,65.587932
0.0,212,66.196025
0.0,1001,68.253373
0.0,466,69.334368
0.0,199,69.935572
0.0,179,70.496925
0.0,224,71.127384
0.0,133,71.596398
0.0,196,72.181261
0.0,279,72.923585
0.0,159,73.432014
0.0,101,73.832465
0.0,294,74.585339
0.0,132,76.024993
0.0,137,76.488476
0.0,309,77.265779
0.0,236,77.912826
