#{"t_start": 1704809065.339366, "env_id": "None"}
r,l,t
0.0,169,0.610525
0.0,48,0.846553
0.0,265,1.398096
0.073273,89,1.698721
0.0,811,3.014115
0.0,689,4.17931
0.0,177,4.599396
0.0,380,5.307662
0.0,92,5.602932
0.0,68,5.868558
0.0,298,6.463649
0.0,322,7.088464
0.0,679,8.224829
0.0,419,9.74465
0.0,187,10.177093
0.0,731,11.384083
0.0,191,11.822662
0.0,472,12.657679
0.0,1001,14.251121
0.0,1001,15.889829
0.0,532,17.612465
0.0,567,18.589861
0.0,378,19.293396
0.0,299,19.888229
0.0,50,20.123405
0.0,733,21.382581
0.0,409,22.165784
0.0,545,23.105981
0.0,25,23.312183
0.0,797,25.450648
0.0,587,26.472998
0.0,522,27.39079
0.0,678,28.745718
0.0,972,30.444024
0.0,1001,32.067485
0.175399,852,34.310359
0.0,676,35.519356
0.0,171,35.928186
0.0,580,36.926427
0.0,168,37.338525
0.0,650,38.514685
0.0,233,39.062417
0.0,382,39.804715
0.0,304,40.406225
0.0,257,40.937656
0.0,240,42.216337
0.0,351,42.89891
