#{"t_start": 1700673786.02302, "env_id": "None"}
r,l,t
0.0,55,0.501158
0.0,211,1.100145
0.0,587,2.386534
0.0,693,3.835201
0.0,1001,5.855014
0.0,616,7.160483
0.0,1001,10.204091
0.0,245,10.894745
0.0,714,12.434186
0.0,225,13.074149
0.0,393,14.020984
0.0,272,14.737926
0.0,1001,16.819948
0.0,308,17.599467
0.0,961,20.80205
0.0,189,21.40939
0.0,130,21.879716
0.0,764,23.611779
0.0,346,24.485373
0.0,669,25.973799
0.0,1001,27.986112
0.0,68,28.329268
0.0,167,28.847024
0.0,1001,31.895161
0.0,49,32.200924
0.0,141,32.671762
0.0,93,33.057522
0.0,676,34.49377
0.0,217,35.096209
0.0,1001,37.130006
0.0,673,38.556296
0.0,177,39.095506
0.0,207,39.679662
0.0,606,41.908288
0.0,711,43.432056
0.0,271,44.13713
0.0,560,45.354985
0.0,294,46.103123
0.0,538,47.288216
0.0,1001,49.322288
