#{"t_start": 1700570950.488972, "env_id": "None"}
r,l,t
0.0,1001,2.645188
0.012444,1001,4.678453
0.009609,1001,6.698453
0.005747,1001,8.801034
0.03372,1001,10.847959
0.02236,1001,12.854311
0.005478,1001,14.857784
0.015458,1001,16.897198
0.014776,1000,18.914642
0.00312,1001,32.860094
0.0,1001,70.736405
0.00238,74,73.71558
0.03736,483,92.073828
0.0,191,99.479973
0.010668,129,104.769014
0.0,331,117.572595
0.003549,193,125.045123
0.0,85,128.537299
0.0,105,132.679004
0.0,57,134.990466
0.007347,214,143.203631
0.117072,138,148.634006
0.0,142,154.469941
0.0,95,158.202252
0.0,41,159.924522
0.0,673,185.618844
0.170524,1001,224.004394
0.0,160,230.132945
0.0,131,235.174844
0.0,160,241.288501
0.0,181,248.172808
0.005064,508,267.796838
0.021406,532,287.940782
0.002393,684,314.796138
