#{"t_start": 1700672852.969289, "env_id": "None"}
r,l,t
0.0,315,0.976011
0.0,130,1.418387
0.0,233,2.061877
0.0,297,2.810063
0.0,679,4.261642
0.0,103,4.66374
0.0,111,5.076455
0.0,218,5.691663
0.0,410,6.650929
0.0,969,8.631021
0.0,1001,11.565029
0.0,1001,13.599624
0.0,1001,15.630228
0.0,155,16.121066
0.0,95,16.506961
0.0,946,18.452565
0.308941,884,21.158021
0.0,1001,23.197204
0.0,458,24.252264
0.0,398,25.18603
0.0,470,26.241822
0.0,1001,28.289142
0.0,179,28.832691
0.0,27,29.094067
0.000995,99,29.486189
0.0,1001,32.442483
0.0,82,32.804985
0.0,559,34.043535
0.0,563,35.281547
0.0,1001,37.313056
0.0,598,38.614682
0.103805,187,39.165438
0.0,386,41.045926
0.0,287,41.78208
0.0,977,43.777692
0.042545,218,44.37951
0.0,1001,46.455611
0.0,746,48.098885
0.0,846,50.881508
0.0,645,52.324379
0.0,159,52.831294
0.0,506,53.974558
0.0,1001,56.092353
0.0,474,57.186619
0.0,1001,59.235199
0.0,93,59.617631
0.0,644,61.945615
0.0,1001,63.992639
0.0,395,64.92279
0.0,369,65.80885
0.0,284,66.556791
0.0,211,67.229429
0.0,1001,69.3142
0.0,1001,72.373637
0.0,556,73.621733
0.108106,279,74.403816
0.0,190,74.996876
0.0,1001,77.086736
0.0,340,77.93011
0.056675,1001,80.984296
0.0,235,81.623964
0.0,529,82.798936
0.0,778,84.451551
0.0,934,86.386894
0.0,125,86.824356
0.0,463,87.885086
0.0,1001,89.910268
0.0,57,91.16418
0.0,430,92.153877
0.0,464,93.214595
0.0,91,93.596917
0.0,1001,95.664501
0.0,238,96.311254
0.0,168,96.83216
0.0,334,97.655656
0.0,1001,99.682311
0.008671,1001,102.715898
0.0,155,103.206608
0.0,265,103.897112
0.0,90,104.280954
0.0,402,105.23084
0.0,260,105.911157
0.0,335,106.728132
0.0,90,107.104635
0.0,415,108.085428
0.0,213,108.684298
0.0,1001,110.714461
0.184568,639,113.116485
0.0,1001,115.229689
0.0,953,117.227068
0.0,121,117.659853
0.0,762,119.287541
0.0,527,120.473225
0.0,83,120.847665
0.0,1001,123.908002
0.0,578,125.174028
0.0,664,126.612488
0.0,242,127.267503
0.0,251,127.958243
0.0,160,128.471352
0.0,352,129.334876
0.0,295,130.101675
0.0,332,130.940947
0.0,59,131.269379
0.0,730,133.780982
0.0,239,134.448098
0.0,1001,136.572955
0.0,957,138.653507
0.0,394,139.634898
0.0,755,141.296532
0.0,1001,144.414583
0.0,1001,146.578601
0.0,1001,148.712918
0.046737,369,149.618415
0.075155,206,150.272967
0.0,317,151.121786
0.0,1001,154.290335
0.0,146,154.789967
0.0,1001,156.886239
0.0,134,157.351121
0.0,20,157.624929
0.0,523,158.814691
0.0,544,160.031706
0.0,84,160.399914
0.0,170,160.931812
0.0,94,161.332337
0.0,34,161.614105
0.0,532,162.891304
0.0,152,163.419166
0.0,1001,166.463024
0.0,579,167.736501
0.0,1001,169.834099
0.0,617,171.208234
0.0,376,172.118546
0.0,524,173.316742
0.0,596,175.611527
0.0,805,177.370888
0.0,198,177.964626
0.0,178,178.523011
0.0,300,179.307307
0.0,185,179.881246
0.0,74,180.242623
0.0,1001,182.367323
0.0,141,182.851265
0.0,80,183.210871
0.047396,1001,186.264554
0.0,1001,188.371429
0.0,1001,190.482806
0.140673,806,192.22743
0.0,104,192.650201
0.0,724,194.221512
0.0,741,196.837382
0.0,887,198.72103
0.0,1001,200.858246
0.0,1001,202.965161
0.0,1001,206.059272
0.145147,1001,208.130904
0.0,290,208.898207
0.0,1001,211.055542
0.0,186,211.644262
0.0,484,212.76909
0.0,248,213.468648
0.0,431,214.516111
0.0,446,216.675675
0.0,908,218.606743
0.0,251,219.321639
0.0,138,219.799989
0.0,1001,222.007005
0.0,1001,224.13699
0.0,602,226.812923
0.0,446,227.948639
0.0,1001,230.090805
0.0,1001,232.300076
0.0,788,234.044317
0.0,811,236.937576
0.0,784,238.784115
0.0,979,240.904402
0.0,79,241.272318
0.0,1001,243.375105
0.0,293,244.167655
0.0,670,245.657753
0.0,239,246.342839
0.0,1001,249.400459
0.0,1001,251.478629
0.0,1001,253.536917
0.0,145,254.023403
0.0,280,254.739986
0.0,130,255.222213
0.0,428,256.295093
0.0,265,258.088897
0.0,306,258.924671
0.0,242,259.614905
0.0,236,260.261051
0.0,1001,262.313135
0.0,363,263.195778
0.0,127,263.645428
0.0,89,264.026698
0.0,690,265.523039
0.0,362,266.430705
0.0,526,267.719534
0.0,375,269.59976
0.0,1001,271.722079
0.0,168,272.248606
0.0,1001,274.311577
0.0,465,275.409687
0.0,583,276.766412
0.123868,640,279.204791
0.0,1001,281.284999
0.0,412,282.255681
0.0,581,283.544085
0.0,231,284.187923
0.0,1001,286.253696
0.0,309,287.052913
0.0,1001,290.090022
0.0,450,291.138875
0.0,1001,293.197386
0.0,876,295.029408
0.0,354,295.902014
0.0,421,296.892572
0.0,112,297.326846
0.0,1001,300.313341
0.0,1001,302.400247
0.0,1001,304.485506
0.0,1001,306.575186
0.0,152,307.073399
0.0,1001,310.104661
0.078106,418,311.093573
0.0,463,312.167831
0.0,1001,314.247686
0.0,1001,316.312298
0.0,278,317.04658
0.0,190,317.630794
0.0,1001,320.655395
0.0,335,321.474648
0.0,55,321.786971
0.0,402,322.748811
0.0,444,323.770406
0.0,132,324.221429
0.0,1001,326.256922
