#{"t_start": 1700573541.9858, "env_id": "None"}
r,l,t
0.000162,479,1.300724
0.0,338,2.153094
0.016535,355,3.041192
0.0,753,4.685301
0.0,143,5.166262
0.020786,515,6.363691
0.068714,927,8.29628
0.003595,322,9.112868
0.0,239,9.778112
0.005381,310,11.566369
0.003929,119,12.007361
0.0,283,12.770241
0.0,74,13.121871
0.041381,210,13.732173
0.00647,68,14.081229
2.9e-05,144,14.562394
0.000398,817,16.41982
0.00302,660,17.892099
0.0,1001,20.009531
0.002419,117,20.462951
0.028302,404,22.443953
0.0,478,23.608878
0.0,156,24.208036
0.048005,404,25.241635
0.0,780,26.923876
0.029989,657,28.368434
0.00176,1001,30.46789
0.0,1001,33.552933
0.005295,290,34.297147
0.0,1001,36.398905
0.027853,104,36.799959
0.02899,80,37.16794
0.006079,499,38.321502
0.0,1001,40.455511
0.0,76,40.830632
0.002817,631,43.222219
0.0,101,43.626647
0.0,412,44.608174
0.0,481,45.741038
0.0,390,46.720285
0.137131,919,48.675415
0.0,471,49.816537
0.0,321,50.65557
0.000474,639,52.096963
0.0,67,52.442729
0.0,232,53.106175
0.0,461,55.237119
0.0,67,55.585224
0.0,285,56.320447
0.069203,230,56.967062
0.0,231,57.610996
0.0,224,58.240725
0.03784,453,59.293519
0.020451,154,59.790383
0.009272,528,60.994341
0.0,77,61.354617
0.0,372,62.272209
0.0,914,64.177846
0.007001,210,65.84085
0.0,88,66.221699
0.0,162,66.741982
0.0,25,67.014958
0.0,536,68.228934
0.0,100,68.625665
0.001254,1001,70.681951
0.0,68,71.016968
0.0,157,71.530211
0.010854,154,72.02284
0.0,81,72.386124
0.010177,865,74.230218
0.018016,68,74.569886
0.0,781,77.287181
0.001482,494,78.524138
0.0,357,79.446185
0.009993,334,80.300339
0.0,229,81.004321
0.004956,133,81.477944
0.0,897,83.414828
0.0,560,84.716241
0.0,100,85.155386
0.007741,392,86.143494
0.005753,138,86.629824
0.0,335,87.477045
0.021371,205,89.093875
0.000206,235,89.81677
0.0,465,90.921939
0.0,409,91.905267
0.0,980,94.004511
0.034938,152,94.516294
0.0,119,94.962109
0.0,72,95.312807
3.5e-05,584,96.680759
0.005603,818,98.446437
0.025751,826,101.272675
0.009755,156,101.777349
0.0,31,102.046137
0.00468,97,102.43526
0.010029,91,102.811283
0.006944,199,103.387233
0.007747,227,104.038268
0.0,235,104.700494
0.0,76,105.049029
0.022093,145,105.524662
0.012681,176,106.078261
0.012538,604,107.430332
0.008949,365,108.329723
0.0,48,108.634583
0.008088,33,108.907066
0.02236,374,109.806054
0.01953,228,110.444739
0.005467,169,110.980366
0.0,566,113.297544
0.0,512,114.483798
0.098503,694,116.009866
0.000331,154,116.515015
0.011436,108,116.930157
0.0,179,117.474797
0.028003,61,117.809066
0.0,216,118.423663
0.0,638,119.822619
0.0,305,120.59472
0.00596,1001,123.624417
0.001708,98,124.020807
0.0,19,124.271324
0.030654,647,125.697317
0.0,559,126.960721
0.010645,685,128.440994
0.002877,1001,130.551838
0.003788,262,131.252789
0.004604,182,131.802883
0.0,1001,134.877779
0.0,371,135.77452
0.0,536,137.000097
0.0,254,137.703377
0.012598,1001,139.817388
0.0,768,141.488324
0.0,105,141.909188
0.057345,247,142.592222
0.0,611,144.984072
0.007617,739,146.588148
0.014672,315,147.393861
0.0,496,148.543499
0.017022,99,148.944923
0.026711,77,149.299424
0.03025,450,150.349609
0.005601,625,151.73666
0.0,693,153.233586
0.008593,123,153.679437
0.0,422,155.712277
0.0,147,156.222564
0.011439,895,158.170132
0.056813,416,159.165443
0.003881,580,160.450389
0.0,569,161.740146
0.0,413,162.721931
0.008655,260,163.434528
0.0,454,164.507892
0.041632,397,166.55414
0.016662,648,168.026502
0.0,410,169.044575
0.0,675,170.563256
0.081016,487,171.692225
0.0,110,172.126759
0.006672,129,172.587876
0.000203,827,174.38761
0.0,52,174.703321
0.0,212,175.36891
0.0,220,177.048862
0.0,66,177.387315
0.017047,149,177.886179
0.033699,1001,179.997103
0.0,450,181.068721
0.0055,134,181.530293
0.00184,373,182.456532
0.0,109,182.88965
0.023333,27,183.168845
0.0,267,183.916896
0.0,268,184.639364
0.01372,583,185.987935
0.017779,205,186.591366
0.012297,124,187.065693
0.0,290,187.898466
0.003061,129,189.453937
0.092724,1001,191.61809
0.0,205,192.224393
0.0,630,193.664947
0.001883,1001,195.804612
0.008373,163,196.327979
0.0,219,196.983452
0.013104,327,197.832442
0.003188,101,198.241183
0.009644,96,198.641639
0.072629,280,200.405273
0.004148,1001,202.532851
0.0,168,203.083156
0.0,135,203.571286
0.012923,427,204.63683
0.0,252,205.377228
0.0,289,206.146664
0.037691,780,207.870038
0.0,571,209.179896
0.015906,151,209.685264
0.035581,653,212.027032
0.017296,1001,214.133618
0.0,97,214.550183
0.0,37,214.850194
0.0,65,215.197133
0.0,457,216.298373
0.002389,340,217.147159
0.047445,1001,219.303803
0.010314,58,219.62428
0.0,505,220.779508
0.0,514,222.855048
0.0,374,223.760591
0.0,1001,225.859934
0.0,505,227.007792
0.017313,115,227.434833
0.152623,1001,229.496432
