#{"t_start": 1700673869.669491, "env_id": "None"}
r,l,t
0.0,199,0.785012
0.0,202,1.393308
0.0,272,2.103764
0.0,273,2.825982
0.0,957,4.805073
0.0,376,5.715382
0.0,528,6.923503
0.0,399,7.887262
0.0,69,8.244743
0.0,28,8.529546
0.0,191,9.116997
0.0,729,11.773458
0.0,173,12.305811
0.0,215,12.914971
0.0,270,13.626605
0.0,519,14.799649
0.0,376,15.707224
0.0,62,16.042626
0.0,360,16.921236
0.0,210,17.532758
0.0,289,18.278489
0.0,1001,20.321087
0.0,313,21.116569
0.0,166,21.641328
0.0,1001,24.580111
0.0,1001,26.643867
0.0,566,27.902925
0.0,97,28.297222
