#{"t_start": 1700574360.209694, "env_id": "None"}
r,l,t
0.024255,842,2.007958
0.0,168,2.545825
0.019394,177,3.111421
0.018637,1001,5.203315
0.0,395,6.163589
0.0,387,7.110803
0.006692,1001,9.20032
0.017358,1001,12.216202
0.00389,782,13.905893
0.004784,331,14.774897
0.06466,465,15.86092
0.099555,201,16.462158
0.011525,520,17.653486
0.008675,107,18.078565
0.041213,351,18.988587
0.0,769,21.577115
0.017233,54,21.892607
0.013235,129,22.347699
0.0,390,23.304255
0.0,1001,25.417222
0.002332,775,27.072341
0.004672,714,28.624463
0.0,217,29.23599
0.016534,31,29.518583
0.0,27,29.783754
0.0,50,30.089206
0.0,524,32.259761
0.007957,166,32.799792
0.018915,863,34.650871
0.00328,710,36.216345
0.069009,822,37.975116
0.00145,228,38.608102
0.026097,359,39.489512
0.004143,185,40.046535
0.0,410,41.023871
0.013487,1001,44.081848
0.008913,168,44.609833
0.0,1001,46.691475
0.0,146,47.185066
0.0,1001,49.276859
0.011308,584,50.581339
0.000165,794,53.217968
0.001171,59,53.537959
0.0,155,54.033719
0.035814,666,55.478582
0.002678,1001,57.552053
0.011794,1001,59.745477
0.007524,313,60.549942
0.016457,455,61.63645
0.0061,239,63.299563
0.0,410,64.285487
0.0,220,64.915553
0.006911,130,65.373537
0.06147,227,66.029115
0.001492,452,67.089355
0.0,172,67.631737
0.004847,320,68.451976
0.0,869,70.312662
0.004829,331,71.167326
0.0,707,72.739938
0.033803,372,74.773863
0.012298,662,76.24344
0.119721,297,77.007334
0.030543,506,78.273615
0.0,303,79.095511
0.007383,298,79.862994
0.003868,421,80.860658
0.0,406,81.826613
0.036957,294,82.617929
0.0,116,83.05985
0.003581,437,84.124742
0.003798,1001,87.082085
0.0,207,87.674971
0.0,1001,89.726223
0.003322,127,90.170848
0.0,1001,92.257831
0.001418,496,93.40687
0.0,143,93.882523
0.009394,1001,96.82469
0.0,122,97.267205
0.0,387,98.20831
0.007298,198,98.78728
0.0161,1001,100.832858
0.01198,613,102.191596
0.000985,466,103.266882
0.0,1001,106.221115
0.020666,129,106.676059
0.0,271,107.395394
0.0,397,108.347085
0.0,138,108.818968
0.0,840,110.613622
0.0,606,111.966735
0.058043,584,113.271901
0.013148,661,115.638745
0.0,1001,117.708747
0.0,155,118.204521
0.0,140,118.680334
0.012759,94,119.072461
0.0,893,120.934136
0.0,402,121.882525
0.007605,234,122.522699
0.0,860,124.31715
0.0,1001,127.296493
0.0,1001,129.360336
0.022313,172,129.888558
0.052623,105,130.293465
0.045359,680,131.766565
0.0,52,132.076466
0.01612,1001,134.161837
0.0,460,136.197551
0.005666,420,137.31311
0.010502,1001,139.435814
